Product Name,Sum of Price,Shipping Mode,Category,Sub-Category
1 Bucket Chicken Biryani Party Pack 5kg (Chennai),₹ 999,Paid Shipping!,Foods,Biryani
1 Bucket Chicken Biryani Party Pack 5kg (Chennai),₹ 999,Paid Shipping!,Foods,Non Veg
150Mbps Wireless Nano USB Adapter,₹ 399,Free Shipping!,Laptops,Computers Accessories
150Mbps Wireless Nano USB Adapter,₹ 399,Free Shipping!,Laptops,Laptop Accessories
150Mbps Wireless Nano USB Adapter,₹ 399,Free Shipping!,Mobiles,Mobiles Accessories
1KG Chicken Biryani (Chennai),₹ 199,Free Shipping!,Foods,Biryani
3 Wheeled Scooter For Kids,"₹ 1,999",Free Shipping!,Toys & Games,Gaming Accessories
3.7V 275mAH Lithium Polymer(LiPo) Rechargeable Battery for RC Drone,₹ 799,Free Shipping!,Accessories,More
3.7V 275mAH Lithium Polymer(LiPo) Rechargeable Battery for RC Drone,₹ 799,Free Shipping!,Accessories,SpareParts
3.7V 275mAH Lithium Polymer(LiPo) Rechargeable Battery for RC Drone,₹ 799,Free Shipping!,Toys & Games,Drones
32 GB Pen Drive Sandisk,₹ 700,Paid Shipping!,Laptops,Laptop Accessories
A0-105 Portable Wireless Bluetooth Speaker,₹ 499,Free Shipping!,Accessories,SpareParts
A0-105 Portable Wireless Bluetooth Speaker,₹ 499,Free Shipping!,Laptops,Computers Accessories
A0-105 Portable Wireless Bluetooth Speaker,₹ 499,Free Shipping!,Laptops,Laptop Accessories
A0-105 Portable Wireless Bluetooth Speaker,₹ 499,Free Shipping!,Mobiles,Mobiles Accessories
A-031 Portable Wireless Bluetooth Speaker,₹ 499,Free Shipping!,Accessories,SpareParts
A-031 Portable Wireless Bluetooth Speaker,₹ 499,Free Shipping!,Laptops,Computers Accessories
A-031 Portable Wireless Bluetooth Speaker,₹ 499,Free Shipping!,Laptops,Laptop Accessories
A-031 Portable Wireless Bluetooth Speaker,₹ 499,Free Shipping!,Mobiles,Mobiles Accessories
"Aagam Salwar Suits and Dress Materials(Pink,RED,Black,Blue,Yellow)",₹ 499,Free Shipping!,Fasion,Women
Air Conditioner Service,₹ 500,Paid Shipping!,Services,Bengaluru
Air Conditioner Service,₹ 500,Paid Shipping!,Services,Chennai
Air Conditioner Service,₹ 500,Paid Shipping!,Services,Mumbai
"AmbranePowerBank P-1111(white,Blue)",₹ 650,Free Shipping!,Mobiles,Mobiles Accessories
AmbranePowerBank P-1310,₹ 800,Free Shipping!,Mobiles,Mobiles Accessories
ATTA 1Kg(Berhampur),₹ 49,Paid Shipping!,Foods,Organic Foods
Auto ePass 2003 FIPS USB Token,₹ 450,Free Shipping!,Accessories,More
