Mobile Phone,Total Ratings, Price ,Text1,Model Name,OS,Display,Display Type,Battery Capacity,,
"        Samsung Galaxy M13 (Aqua Green, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus       ","4,208 ratings"," ₹ 9,499.00 ",Samsung,Samsung Galaxy M13,Android 12.0,         6.6 inches    ,         LCD    ,6000,,
"        Redmi A1 (Black, 2GB RAM, 32GB Storage) | Helio A22 | 5000 mAh Battery | 8MP AI Dual Cam | Leather Texture Design | Android 12       ",105 ratings," ₹ 6,299.00 ",Redmi,Redmi A1,Android Go,         6.52 inches    ,         LCD    ,5000,,
"        Samsung Galaxy M13 (Midnight Blue, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus       ","4,208 ratings"," ₹ 9,499.00 ",Samsung,Samsung Galaxy M13,Android 12.0,,,,,
"        Redmi 10A (Charcoal Black, 4GB RAM, 64GB Storage) | 2 Ghz Octa Core Helio G25 | 5000 mAh Battery | Finger Print Sensor | Upto 5GB RAM with RAM Booster       ","5,292 ratings"," ₹ 8,599.00 ",Redmi,Redmi 10A,MIUI 12.5,         6.53 inches    ,         LCD    ,5000,,
"        Redmi 9 Activ (Coral Green, 4GB RAM, 64GB Storage)| Octa-core Helio G35 | 5000 mAh Battery       ","180,866 ratings"," ₹ 8,099.00 ",Redmi,Redmi 9 Activ,"Andriod MIUI 20, MIUI 20",         6.53 inches    ,         LCD    ,5000,,
"        Redmi A1 (Light Blue, 2GB RAM, 32GB Storage) | Helio A22 | 5000 mAh Battery | 8MP AI Dual Cam | Leather Texture Design | Android 12       ",105 ratings," ₹ 6,299.00 ",Redmi,Redmi A1,Android Go,         6.52 inches    ,         LCD    ,5000,,
"        Redmi 10 Prime 2022 (Phantom Black, 4GB RAM, 64GB Storage) |Helio G88 with extendable RAM Upto 2GB |FHD+ 90Hz Adaptive Sync Display|50 MP Quad Camera       ","54,832 ratings",,Xiaomi,P19T,MIUI 12.5,         6.5 inches    ,         fhd+    ,6000,,
"        realme narzo 50A Prime (Flash Blue, 4GB RAM+128GB Storage) FHD+ Display | 50MP AI Triple Camera (No Charger Variant) | Flat 3000 Off       ","1,767 ratings"," ₹ 9,499.00 ",Realme,Narzo 50A Prime,Android 11.0,,,,,
"        Redmi A1 (Light Green, 2GB RAM 32GB ROM) | Helio A22 | 5000 mAh Battery | 8MP AI Dual Cam | Leather Texture Design | Android 12       ",105 ratings," ₹ 6,299.00 ",Redmi,Redmi A1,Android Go,         6.52 inches    ,         LCD    ,5000,,
        realme narzo 50i Prime (Dark Blue 4GB RAM+64GB Storage) Octa-core Processor | 5000 mAh Battery       ,23 ratings," ₹ 7,777.00 ",Realme,Realme narzo 50i Prime,Android 11,         6.5 inches    ,         LCD    ,5000,,
"        Redmi 9 Activ (Metallic Purple, 4GB RAM, 64GB Storage) | Octa-core Helio G35 | 5000 mAh Battery       ","180,866 ratings"," ₹ 8,099.00 ",Redmi,Redmi 9 Activ,"MIUI 12, Android MIUI 12",         6.53 inches    ,         LCD    ,5000,,
        realme narzo 50i Prime (Dark Blue 4GB RAM+64GB Storage) Octa-core Processor | 5000 mAh Battery       ,23 ratings," ₹ 7,777.00 ",Realme,Realme narzo 50i Prime,Android 11,         6.5 inches    ,         LCD    ,5000,,
"        Redmi 9 Activ (Carbon Black, 4GB RAM, 64GB Storage) | Octa-core Helio G35 | 5000 mAh Battery       ","180,866 ratings"," ₹ 8,099.00 ",Redmi,Redmi 9 Activ,"MIUI 12, Android MIUI 12",         6.53 inches    ,         LCD    ,5000,,
"        Redmi 10 Prime 2022 (Astral White, 4GB RAM, 64GB Storage) |Helio G88 with extendable RAM Upto 2GB |FHD+ 90Hz Adaptive Sync Display |50 MP Quad Camera       ","54,832 ratings",,Xiaomi,P19T,MIUI 12.5,         6.5 inches    ,         fhd+    ,6000,,
"        Samsung Galaxy M13 (Stardust Brown, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus       ","4,208 ratings"," ₹ 9,499.00 ",Samsung,Samsung Galaxy M13,Android 12.0,         6.6 inches    ,         LCD    ,6000,,
"        Redmi 9A Sport (Coral Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery       ","11,675 ratings"," ₹ 6,999.00 ",Redmi,Redmi 9A Sport,MIUI 12,         6.53 inches    ,         hd+    ,5000,,
"        realme narzo 50 (Speed Blue, 4GB RAM+64GB Storage) Helio G96 Processor | 50MP AI Triple Camera | 120Hz Ultra Smooth Display       ","8,750 ratings"," ₹ 9,999.00 ",Realme,Narzo 50,Android 11,         6.6 inches    ,         LCD    ,5000,,
"        realme narzo 50i (Carbon Black, 4GB RAM+64GB Storage) - 6.5"" inch Large Display | 5000mAh Battery       ","24,797 ratings"," ₹ 8,499.00 ",Realme,Realme narzo 50i,Android 11,         6.5 inches    ,"         HD+, hd+    ",5000,,
"        realme narzo 50i (Mint Green, 2GB RAM+32GB Storage) - 6.5"" inch Large Display | 5000mAh Battery       ","24,797 ratings"," ₹ 6,110.00 ",Realme,Realme narzo 50i,Android 11,         6.5 inches    ,"         HD+, hd+    ",5000,,
"        realme narzo 50A Prime (Flash Black, 4GB RAM+128GB Storage) FHD+ Display | 50MP AI Triple Camera (No Charger Variant) | Flat 3000 Off       ","1,767 ratings"," ₹ 9,499.00 ",Realme,Narzo 50A Prime,Android 11.0,,,,,
