"lazy src","productSKULink","productSKULink href","d-block","vfm__scr","vfm__txt","prdp-spc__cntnt","p-r-s","txt-clr-base","prdp-spc__cntnt 2","p-r-s 2","txt-clr-base 2","prdp-spc__cntnt 3","p-r-s 3","txt-clr-base 3","prdp-spc__cntnt 4","p-r-s 4","txt-clr-base 4","ovrlystts-stts","txt-wt-n"
"https://cdn.pricebaba.com/prod/images/product/mobile/107203/samsung-galaxy-m13-l-3328517.jpg?tr=h-120,q-60","Samsung Galaxy M13","https://pricebaba.com/mobile/samsung-galaxy-m13","Rs. 9,499","91","VFM Score","6.6""","•","Screen","Triple","•","Camera","4GB","•","RAM","6000mAh","•","Battery","",""
"https://cdn.pricebaba.com/prod/images/product/mobile/107450/realme-c35-l-2984698.jpg?tr=h-120,q-60","Realme C35","https://pricebaba.com/mobile/realme-c35","Rs. 9,999","74","VFM Score","6.6""","•","Screen","Triple","•","Camera","4GB","•","RAM","5000mAh","•","Battery","",""
"https://cdn.pricebaba.com/prod/images/product/mobile/109766/infinix-hot-12-play-l-3580428.jpg?tr=h-120,q-60","Infinix Hot 12 Play","https://pricebaba.com/mobile/infinix-hot-12-play","Rs. 8,199","69","VFM Score","6.82""","•","Screen","13 MP","•","Camera","4GB","•","RAM","6000mAh","•","Battery","",""
"https://cdn.pricebaba.com/prod/images/product/mobile/104093/xiaomi-redmi-10-l-2595209.jpg?tr=h-120,q-60","Xiaomi Redmi 10","https://pricebaba.com/mobile/xiaomi-redmi-10","Rs. 9,450","85","VFM Score","6.7""","•","Screen","Dual","•","Camera","4GB","•","RAM","6000mAh","•","Battery","",""
"https://cdn.pricebaba.com/prod/images/product/mobile/108540/realme-narzo-50-l-2556012.jpg?tr=h-120,q-60","Realme Narzo 50","https://pricebaba.com/mobile/realme-narzo-50","Rs. 9,999","84","VFM Score","6.6""","•","Screen","Triple","•","Camera","4GB","•","RAM","5000mAh","•","Battery","",""
"https://cdn.pricebaba.com/prod/images/product/mobile/109556/vivo-t1x-4g-l-3290991.jpg?tr=h-120,q-60","vivo T1x 4G","https://pricebaba.com/mobile/vivo-t1x-4g","Rs. 9,999","82","VFM Score","6.58""","•","Screen","Dual","•","Camera","4GB","•","RAM","5000mAh","•","Battery","",""
"https://cdn.pricebaba.com/prod/images/product/mobile/106521/poco-c31-64gb-l-2854659.jpg?tr=h-120,q-60","POCO C31 64GB","https://pricebaba.com/mobile/poco-c31-64gb","Rs. 8,750","88","VFM Score","6.53""","•","Screen","Triple","•","Camera","4GB","•","RAM","5000mAh","•","Battery","",""
"https://cdn.pricebaba.com/prod/images/product/mobile/41660/reliance-jiophone-l-2479480.jpg?tr=h-120,q-60","Reliance JioPhone","https://pricebaba.com/mobile/reliance-jiophone","Rs. 1,500","62","VFM Score","2.4""","•","Screen","2 MP","•","Camera","512MB","•","RAM","2000mAh","•","Battery","",""
"https://pricebaba.com/l.png","Realme C30","https://pricebaba.com/mobile/realme-c30","Rs. 5,499","95","VFM Score","6.5""","•","Screen","8 MP","•","Camera","2GB","•","RAM","5000mAh","•","Battery","",""
"https://pricebaba.com/l.png","Xiaomi Redmi 9A Sport","https://pricebaba.com/mobile/xiaomi-redmi-9a-sport","Rs. 6,599","79","VFM Score","6.53""","•","Screen","13 MP","•","Camera","2GB","•","RAM","5000mAh","•","Battery","",""
"https://pricebaba.com/l.png","POCO C31","https://pricebaba.com/mobile/poco-c31","Rs. 7,777","94","VFM Score","6.53""","•","Screen","Triple","•","Camera","3GB","•","RAM","5000mAh","•","Battery","",""
"https://pricebaba.com/l.png","Xiaomi Redmi 10 Prime 2022","https://pricebaba.com/mobile/xiaomi-redmi-10-prime-2022","Rs. 9,999","89","VFM Score","6.5""","•","Screen","Quad","•","Camera","4GB","•","RAM","6000mAh","•","Battery","",""
"https://pricebaba.com/l.png","Xiaomi Redmi 9i Sport","https://pricebaba.com/mobile/xiaomi-redmi-9i-sport","Rs. 8,358","80","VFM Score","6.53""","•","Screen","13 MP","•","Camera","4GB","•","RAM","5000mAh","•","Battery","",""
"https://pricebaba.com/l.png","Realme Narzo 50A 128GB","https://pricebaba.com/mobile/realme-narzo-50a-128gb","Rs. 9,499","71","VFM Score","6.5""","•","Screen","Triple","•","Camera","4GB","•","RAM","6000mAh","•","Battery","",""
"https://pricebaba.com/l.png","Xiaomi Redmi 9i Sport 128GB","https://pricebaba.com/mobile/xiaomi-redmi-9i-sport-128gb","Rs. 9,997","73","VFM Score","6.53""","•","Screen","13 MP","•","Camera","4GB","•","RAM","5000mAh","•","Battery","Out of stock","Out of Stock"
"https://pricebaba.com/l.png","Realme C31","https://pricebaba.com/mobile/realme-c31","Rs. 8,897","76","VFM Score","6.5""","•","Screen","Triple","•","Camera","3GB","•","RAM","5000mAh","•","Battery","",""
"https://pricebaba.com/l.png","Realme C31 64GB","https://pricebaba.com/mobile/realme-c31-64gb","Rs. 9,649","62","VFM Score","6.5""","•","Screen","Triple","•","Camera","4GB","•","RAM","5000mAh","•","Battery","",""
"https://pricebaba.com/l.png","Xiaomi Redmi 9A Sport 3GB RAM","https://pricebaba.com/mobile/xiaomi-redmi-9a-sport-3gb-ram","Rs. 6,999","79","VFM Score","6.53""","•","Screen","13 MP","•","Camera","3GB","•","RAM","5000mAh","•","Battery","",""
"https://pricebaba.com/l.png","Realme Narzo 50i 64GB","https://pricebaba.com/mobile/realme-narzo-50i-64gb","Rs. 8,490","63","VFM Score","6.5""","•","Screen","8 MP","•","Camera","4GB","•","RAM","5000mAh","•","Battery","",""
"https://pricebaba.com/l.png","Nokia 105 Plus","https://pricebaba.com/mobile/nokia-105-plus","Rs. 1,199","42","VFM Score","1.77""","•","Screen","4MB","•","RAM","1000mAh","•","Battery","","","","",""
"https://pricebaba.com/l.png","Tecno Spark 8T","https://pricebaba.com/mobile/tecno-spark-8t","Rs. 8,499","77","VFM Score","6.6""","•","Screen","50 MP","•","Camera","4GB","•","RAM","5000mAh","•","Battery","",""
"https://pricebaba.com/l.png","Nokia 2660 Flip","https://pricebaba.com/mobile/nokia-2660-flip","Rs. 4,549","47","VFM Score","2.8""","•","Screen","0.3 MP","•","Camera","48MB","•","RAM","1450mAh","•","Battery","",""
"https://pricebaba.com/l.png","Infinix Smart 6","https://pricebaba.com/mobile/infinix-smart-6","Rs. 5,849","74","VFM Score","6.6""","•","Screen","8 MP","•","Camera","2GB","•","RAM","5000mAh","•","Battery","",""
"https://pricebaba.com/l.png","Xiaomi Redmi 10A","https://pricebaba.com/mobile/xiaomi-redmi-10a","Rs. 7,795","85","VFM Score","6.53""","•","Screen","13 MP","•","Camera","3GB","•","RAM","5000mAh","•","Battery","",""
