Model_Name,Display_Final,Battery_Final,Front_Camera_Final,RAM_Final,Rear_Camera_Final,Processor_Final,Price,,,,,,,,,,,,,,,,,,,,,,,
Infinix Hot 10S,Screen Size 6.82 inches (17.32 cm),Battery 6000 mAh,Front Camera 8 MP,RAM 4 GB,Rear Camera 48 MP + 2 MP,"Processor Octa core (2 GHz, Dual core, Cortex A75 + 1.8 GHz, Hexa Core, Cortex A55)","9,999",,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy F02s,Screen Size 6.5 inches (16.51 cm),Battery 5000 mAh,Front Camera 5 MP,RAM 3 GB,Rear Camera 13 MP + 2 MP + 2 MP,"Processor Octa core, 1.8 GHz, Cortex A53","9,499",,,,,,,,,,,,,,,,,,,,,,,
Realme C21,Screen Size 6.5 inches (16.51 cm),Battery 5000 mAh,Front Camera 5 MP,RAM 4 GB,Rear Camera 13 MP + 2 MP + 2 MP,0,"8,799",,,,,,,,,,,,,,,,,,,,,,,
OPPO A15,Screen Size 6.52 inches (16.56 cm),Battery 4230 mAh,Front Camera 5 MP,RAM 2 GB,Rear Camera 13 MP + 2 MP + 2 MP,"Processor Octa core, 2.3 GHz, Cortex A53","9,490",,,,,,,,,,,,,,,,,,,,,,,
Realme C15,Screen Size 6.52 inches (16.56 cm),Battery 6000 mAh,Front Camera 8 MP,RAM 3 GB,Rear Camera 13 MP + 8 MP + 2 MP + 2 MP,"Processor Octa core, 2.3 GHz, Cortex A53","9,785",,,,,,,,,,,,,,,,,,,,,,,
Realme Narzo 30A,Screen Size 6.5 inches (16.51 cm),Battery 6000 mAh,Front Camera 8 MP,RAM 3 GB,Rear Camera 13 MP + 2 MP,"Processor Octa core (2 GHz, Dual core, Cortex A75 + 1.8 GHz, Hexa Core, Cortex A55)","9,499",,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Redmi 9 Prime,Screen Size 6.53 inches (16.59 cm),Battery 5020 mAh,Front Camera 8 MP,RAM 4 GB,Rear Camera 13 MP + 8 MP + 5 MP + 2 MP,"Processor Octa core (2 GHz, Dual core, Cortex A75 + 1.8 GHz, Hexa Core, Cortex A55)","9,999",,,,,,,,,,,,,,,,,,,,,,,
Moto E7 Power,Screen Size 6.5 inches (16.51 cm),Battery 5000 mAh,Front Camera 5 MP,RAM 2 GB,Rear Camera 13 MP + 2 MP,"Processor Octa core, 2 GHz, Cortex A53","8,799",,,,,,,,,,,,,,,,,,,,,,,
Realme Narzo 20A,Screen Size 6.5 inches (16.51 cm),Battery 5000 mAh,Front Camera 8 MP,RAM 3 GB,Rear Camera 12 MP + 2 MP + 2 MP,"Processor Octa core (2 GHz, Quad core, Kryo 260 + 1.8 GHz, Quad core, Kryo 260)","8,499",,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Redmi 9,Screen Size 6.53 inches (16.59 cm),Battery 5000 mAh,Front Camera 5 MP,RAM 4 GB,Rear Camera 13 MP + 2 MP,"Processor Octa core, 2.3 GHz, Cortex A53","9,399",,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Redmi 8A Dual,Screen Size 6.22 inches (15.8 cm),Battery 5000 mAh,Front Camera 8 MP,RAM 2 GB,Rear Camera 13 MP + 2 MP,"Processor Octa core (1.95 GHz, Quad core, Cortex A53 + 1.45 GHz, Quad core, Cortex A53)","7,499",,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Poco C3,Screen Size 6.53 inches (16.59 cm),Battery 5000 mAh,Front Camera 5 MP,RAM 3 GB,Rear Camera 13 MP + 2 MP + 2 MP,"Processor Octa core, 2.3 GHz, Cortex A53","8,799",,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy M01,Screen Size 5.71 inches (14.5 cm),Battery 4000 mAh,Front Camera 5 MP,RAM 3 GB,Rear Camera 13 MP + 2 MP,"Processor Octa core (2 GHz, Quad core, Cortex A53 + 1.45 GHz, Quad core, Cortex A53)","8,780",,,,,,,,,,,,,,,,,,,,,,,
Realme C11,Screen Size 6.52 inches (16.56 cm),Battery 5000 mAh,Front Camera 5 MP,RAM 2 GB,Rear Camera 13 MP + 2 MP,"Processor Octa core, 2.3 GHz, Cortex A53","7,499",,,,,,,,,,,,,,,,,,,,,,,
Reliance JioPhone,Screen Size 2.4 inches (6.1 cm),Battery 2000 mAh,Front Camera 0.3 MP,RAM 512 MB,Rear Camera 2 MP,"Processor Dual core, 1 GHz, Cortex A7","1,500",,,,,,,,,,,,,,,,,,,,,,,
