NOT FOUND,a-link-normal href,s-image src,a-link-normal href 2,a-size-base-plus,a-size-base href,a-offscreen,a-price-symbol,a-price-whole,a-offscreen 2,a-row,a-color-base,a-color-base 2,a-popover-trigger href,a-icon-alt,a-link-normal href 3,a-size-base,a-color-base 3,a-color-base 4
FOUND,https://www.amazon.in/Divya-Shakti-Great-Indian-Festival/dp/B0BGJ3739R/ref=sr_1_1?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-1,https://m.media-amazon.com/images/I/71x8NM3jRzL._AC_UL320_.jpg,https://www.amazon.in/Divya-Shakti-Great-Indian-Festival/dp/B0BGJ3739R/ref=sr_1_1?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-1,Divya Shakti God Lakshmi / Laxmi Ganesh Set Statue Idol Murti in Brass (4X4 Inch) Great Indian Festival Sale 2022 Offer,https://www.amazon.in/Divya-Shakti-Great-Indian-Festival/dp/B0BGJ3739R/ref=sr_1_1?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-1,₹299,₹,299,₹399,(25% off),Get it by,"Tuesday, October 18",,,,,,
FOUND,https://www.amazon.in/MyTees-Handmade-Lotus-Decoration-Jhumka/dp/B0BCYY88JP/ref=sr_1_2?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-2,https://m.media-amazon.com/images/I/613x5l-pwhL._AC_UL320_.jpg,https://www.amazon.in/MyTees-Handmade-Lotus-Decoration-Jhumka/dp/B0BCYY88JP/ref=sr_1_2?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-2,"MyTees Handmade Wall Decor Lotus with Jhumki Style, Lotus Hangings, MDF Decoration Items, Floral Wall Hangings for Temple Decor, Home Decor, Diwali Decor, All Festival Decor (Lotus Jhumka - 11 Pcs)",https://www.amazon.in/MyTees-Handmade-Lotus-Decoration-Jhumka/dp/B0BCYY88JP/ref=sr_1_2?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-2,₹799,₹,799,"₹1,999",(60% off),Get it by,"Monday, October 17",javascript:void(0),3.5 out of 5 stars,https://www.amazon.in/MyTees-Handmade-Lotus-Decoration-Jhumka/dp/B0BCYY88JP/ref=sr_1_2?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-2#customerReviews,2,,
NOT FOUND,https://www.amazon.in/Unique-Gifts-Customized-Festival-Birthday/dp/B0BJ2BGNCN/ref=sr_1_3?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-3,https://m.media-amazon.com/images/I/61Pmk-Eu+sL._AC_UL320_.jpg,https://www.amazon.in/Unique-Gifts-Customized-Festival-Birthday/dp/B0BJ2BGNCN/ref=sr_1_3?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-3,Unique Gifts Customized Coffee Mug with Photo Name for Bhai Dhooj / Vai Fota / Bhai Fota / Girls Boy Kids Adult Great Indian Festival / Diwali Special / Birthday Gift,,₹225,₹,225,₹450,(50% off),Get it by,"Saturday, October 22",,,,,,
FOUND,https://www.amazon.in/Tealight-Candle-Holder-Rangoli-Festival/dp/B0BD2FXB3K/ref=sr_1_4?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-4,https://m.media-amazon.com/images/I/61xVv6gBfRL._AC_UL320_.jpg,https://www.amazon.in/Tealight-Candle-Holder-Rangoli-Festival/dp/B0BD2FXB3K/ref=sr_1_4?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-4,Tealight Candle Holder Rangoli Set- Set of 7 Pcs- Indian Festival Decor,https://www.amazon.in/Tealight-Candle-Holder-Rangoli-Festival/dp/B0BD2FXB3K/ref=sr_1_4?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-4,₹499,₹,499,"₹1,055",(53% off),Get it by,"Monday, October 17",,,,Only 1 left in stock.,,
FOUND,https://www.amazon.in/CraftyKart-Elephant-T-Lights-Festival-Decoration/dp/B0B94PJ39B/ref=sr_1_5?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-5,https://m.media-amazon.com/images/I/91kaeE29+ML._AC_UL320_.jpg,https://www.amazon.in/CraftyKart-Elephant-T-Lights-Festival-Decoration/dp/B0B94PJ39B/ref=sr_1_5?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-5,"CraftyKart India™ Elephant T-Lights Candle Holder Stand with Wax Candles for Home Decor, Festival Candle Diwali Festival Decoration Diwali GITS Navratri Dussehra (12)",https://www.amazon.in/CraftyKart-Elephant-T-Lights-Festival-Decoration/dp/B0B94PJ39B/ref=sr_1_5?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-5,₹499,₹,499,"₹1,199",(58% off),Get it by,"Monday, October 17",,,,,,
FOUND,https://www.amazon.in/Selibration-Marigold-Artificial-Decoration-festivals/dp/B0B88WJ671/ref=sr_1_6?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-6,https://m.media-amazon.com/images/I/51iL1TN44FL._AC_UL320_.jpg,https://www.amazon.in/Selibration-Marigold-Artificial-Decoration-festivals/dp/B0B88WJ671/ref=sr_1_6?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-6,"Selibration | YELLOW Marigold Artificial Flowers Garlands Toran Indian Genda Phool Hanging Door & Home Decoration for festivals, Diwali, Dussehra, Weddings (5 Pcs)",https://www.amazon.in/Selibration-Marigold-Artificial-Decoration-festivals/dp/B0B88WJ671/ref=sr_1_6?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-6,₹343.32,₹,343,₹789.64,(57% off),Get it by,"Wednesday, October 19",,,,,,
FOUND,https://www.amazon.in/Divya-Shakti-Yantra-Ashtadhatu-Diwali/dp/B0B7KCTQZH/ref=sr_1_7?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-7,https://m.media-amazon.com/images/I/6105DhqhgFL._AC_UL320_.jpg,https://www.amazon.in/Divya-Shakti-Yantra-Ashtadhatu-Diwali/dp/B0B7KCTQZH/ref=sr_1_7?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-7,Divya Shakti Shree Yantra in Ashtadhatu 1.5 kg for Diwali Pooja - Great Indian Festival Sale 2022 Offer,https://www.amazon.in/Divya-Shakti-Yantra-Ashtadhatu-Diwali/dp/B0B7KCTQZH/ref=sr_1_7?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-7,"₹21,000",₹,"21,000","₹25,000",(16% off),Get it,"Wednesday, October 19",,,,,-,"Friday, October 21"
NOT FOUND,https://www.amazon.in/NNPRO-Plastic-Kitchen-Storage-Trolley/dp/B0BF4P3DCH/ref=sr_1_8?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-8,https://m.media-amazon.com/images/I/31kJb9nt2JL._AC_UL320_.jpg,https://www.amazon.in/NNPRO-Plastic-Kitchen-Storage-Trolley/dp/B0BF4P3DCH/ref=sr_1_8?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-8,"NNPRO 2 Layer Plastic Kitchen Storage Trolley Rack with Caster Wheels, Rolling Utility Plastic Kitchen Trolley (2 Layer Kitchen Trolley)",,₹699,₹,699,"₹2,999",(77% off),Get it by,"Friday, October 21",,,,,,
FOUND,https://www.amazon.in/Ashani-Rakshabandh-Microwave-Dishwasher-Siblings1/dp/B09BVVW95X/ref=sr_1_9?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-9,https://m.media-amazon.com/images/I/61X3JSVFPnL._AC_UL320_.jpg,https://www.amazon.in/Ashani-Rakshabandh-Microwave-Dishwasher-Siblings1/dp/B09BVVW95X/ref=sr_1_9?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-9,"Ashani Creation Designer Mug II 3D Printed Coffee Mug for Rakshabandh Festival Best Gift for Brother Sister I 325 ml, Microwave & Dishwasher Safe (Quote ""The Great Indian Siblings1"")",https://www.amazon.in/Ashani-Rakshabandh-Microwave-Dishwasher-Siblings1/dp/B09BVVW95X/ref=sr_1_9?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-9,₹248,₹,248,₹999,(75% off),Get it by,"Sunday, October 16",javascript:void(0),5.0 out of 5 stars,https://www.amazon.in/Ashani-Rakshabandh-Microwave-Dishwasher-Siblings1/dp/B09BVVW95X/ref=sr_1_9?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-9#customerReviews,1,,
FOUND,https://www.amazon.in/Divya-Shakti-Great-Indian-Festival/dp/B0BHD4XFNN/ref=sr_1_10?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-10,https://m.media-amazon.com/images/I/81h0zSGCUEL._AC_UL320_.jpg,https://www.amazon.in/Divya-Shakti-Great-Indian-Festival/dp/B0BHD4XFNN/ref=sr_1_10?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-10,Divya Shakti Pure Parad Mercury Goddess Lakshmi Ji Idol for Home and Office at Great Indian Festival Sale,https://www.amazon.in/Divya-Shakti-Great-Indian-Festival/dp/B0BHD4XFNN/ref=sr_1_10?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665751563&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=kitchen&sprefix=%2Caps%2C237&sr=1-10,"₹1,100",₹,"1,100","₹1,500",(27% off),Get it by,"Tuesday, October 18",,,,,,
