NOT FOUND,a-link-normal href,s-image src,a-link-normal href 2,a-size-base-plus,a-size-base href,a-offscreen,a-price-whole,a-offscreen 2,a-row,a-color-base,a-color-base 2,a-color-base 3,a-link-normal href 3,a-link-normal href 4,a-link-normal href 5,a-link-normal href 6,a-badge-text,a-popover-trigger href,a-icon-alt,a-size-base,a-link-normal,s-label-popover href,a-color-secondary,a-popover-preload,a-color-base 4,a-link-normal 2
FOUND,https://www.amazon.in/Exxelo-Great-Indian-Festival-Deal/dp/B0B986WFLG/ref=sr_1_1?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-1,https://m.media-amazon.com/images/I/41Fvb-pnGwL._AC_UL320_.jpg,https://www.amazon.in/Exxelo-Great-Indian-Festival-Deal/dp/B0B986WFLG/ref=sr_1_1?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-1,Exxelo [Great Indian Festival Deal: 10 Years Warranty] WE16 Full Touch Fitness Tracker Blood Pressure Men's and Women's Heart Rate Monitor Exercise Activity Band Smartwatch with Bluetooth Headset,https://www.amazon.in/Exxelo-Great-Indian-Festival-Deal/dp/B0B986WFLG/ref=sr_1_1?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-1,"₹1,299","1,299","₹2,999",(57% off),Get it by,"Sunday, October 16",,,,,,,,,,,,,,,
FOUND,https://www.amazon.in/Exxelo-Waterproof-Touchscreen-Bluetooth-Smartwatch/dp/B0B984YTC1/ref=sr_1_2?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-2,https://m.media-amazon.com/images/I/41WrmlBKtFL._AC_UL320_.jpg,https://www.amazon.in/Exxelo-Waterproof-Touchscreen-Bluetooth-Smartwatch/dp/B0B984YTC1/ref=sr_1_2?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-2,Exxelo [Great Indian Festival 10 Years Warranty] Waterproof Touchscreen Smart Watch Bluetooth Smartwatch with Heart Rate Sensor with Qc-10 Wireless Stereo Running Sports Bluetooth Jogger Headset,https://www.amazon.in/Exxelo-Waterproof-Touchscreen-Bluetooth-Smartwatch/dp/B0B984YTC1/ref=sr_1_2?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-2,"₹1,299","1,299","₹2,999",(57% off),Get it by,"Sunday, October 16",,,,,,,,,,,,,,,
FOUND,https://www.amazon.in/Indian-Festival-Launch-Cricket-Advance/dp/B09JCGPDLN/ref=sr_1_3?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-3,https://m.media-amazon.com/images/I/71qG9KMXzyL._AC_UL320_.jpg,https://www.amazon.in/Indian-Festival-Launch-Cricket-Advance/dp/B09JCGPDLN/ref=sr_1_3?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-3,KLAPP Great Indian Festival New Launch IPL Series Cricket Kit (Super Advance) Team Back PAK,https://www.amazon.in/Indian-Festival-Launch-Cricket-Advance/dp/B09JCGPDLN/ref=sr_1_3?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-3,"₹3,999","3,999","₹8,999",(56% off),Get it by,"Monday, October 17",FREE Delivery by Amazon,,,,,,,,,,,,,,
FOUND,https://www.amazon.in/Multicolor-Fashion-Walking-Running-Lace-up/dp/B0B82RJKWY/ref=sr_1_4?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-4,https://m.media-amazon.com/images/I/61XQroYoJrL._AC_UL320_.jpg,https://www.amazon.in/Multicolor-Fashion-Walking-Running-Lace-up/dp/B0B82RJKWY/ref=cs_sr_dp_1?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-4,"Enjoy Multicolor Sports Shoes for Men, Chunky Shoe, Fashion Shoe, Color Block Shoes, New Trend Shoe, Men Sports Shoe, Walking Shoe, Running & Gym Shoe, Casual/Sports Light Weight Shoe Lace-up",https://www.amazon.in/Multicolor-Fashion-Walking-Running-Lace-up/dp/B0B82RJKWY/ref=sr_1_4?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-4,₹499,499,"₹1,999",(75% off),Get it by,"Wednesday, October 19",FREE Delivery by Amazon,https://www.amazon.in/Multicolor-Fashion-Walking-Running-Lace-up/dp/B0B82QJXPY/ref=cs_sr_dp_2?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-4,https://www.amazon.in/Multicolor-Fashion-Walking-Running-Lace-up/dp/B0B82R6RBQ/ref=cs_sr_dp_3?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-4,https://www.amazon.in/Multicolor-Fashion-Walking-Running-Lace-up/dp/B0B82RJKWY/ref=sr_1_4?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-4,https://www.amazon.in/greatindianfestival,Great Indian Festival,,,,,,,,,
FOUND,https://www.amazon.in/Lace-up-Sport-Shoes-Running-Cycling-Numeric_7/dp/B08F5KJT35/ref=sr_1_5?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-5,https://m.media-amazon.com/images/I/71ymsyigD9L._AC_UL320_.jpg,https://www.amazon.in/Lace-up-Sport-Shoes-Running-Cycling-Numeric_7/dp/B08F5KJT35/ref=sr_1_5?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-5,"Leo Light Weight Breathable Non Slip Men's Black- Grey Mesh Lace-up Sport-Shoes/Sneakers (809) for Running,Cycling & Casual Wearing",https://www.amazon.in/Lace-up-Sport-Shoes-Running-Cycling-Numeric_7/dp/B08F5KJT35/ref=sr_1_5?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-5,₹599,599,₹999,(40% off),Get it by,"Monday, October 17",FREE Delivery by Amazon,https://www.amazon.in/Lace-up-Sport-Shoes-Running-Cycling-Numeric_7/dp/B08F5KJT35/ref=sr_1_5?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-5#customerReviews,,,,,javascript:void(0),3.2 out of 5 stars,5,,,,,,
FOUND,https://www.amazon.in/Athletic-Support-Breathable-Running-Cushion/dp/B09TPPGGZC/ref=sr_1_6?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-6,https://m.media-amazon.com/images/I/61fv2QOfB7L._AC_UL320_.jpg,https://www.amazon.in/Athletic-Support-Breathable-Running-Cushion/dp/B09TPPGGZC/ref=sr_1_6?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-6,"Enjoy Men Socks Ankle Length Athletic Arch Support Breathable Running, Sports, Gym, Socks Half Terry Cushion Sneaker Length Socks (Black Strip, 3)",https://www.amazon.in/Athletic-Support-Breathable-Running-Cushion/dp/B09TPPGGZC/ref=sr_1_6?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-6,₹249,249,₹599,(58% off),Get it by,"Wednesday, October 19",FREE Delivery on first order.,https://www.amazon.in/Athletic-Support-Breathable-Running-Cushion/dp/B09TPPGGZC/ref=sr_1_6?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-6#customerReviews,,,,,javascript:void(0),4.3 out of 5 stars,9,,,,,,
FOUND,https://www.amazon.in/Breathable-Comfort-Walking-Running-Reinforced/dp/B09X9TPTS2/ref=sr_1_7?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-7,https://m.media-amazon.com/images/I/91B5Kvx8rlL._AC_UL320_.jpg,https://www.amazon.in/Breathable-Comfort-Walking-Running-Reinforced/dp/B09X9TPTS2/ref=cs_sr_dp?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-7,"Enjoy Women Cotton Socks Breathable Calf Length Comfort Sock for Walking, Running, Office, Daily Use, Perfect for Summer | Reinforced Heel and Toe | Elastic Cuffs - PACK OF 6;",https://www.amazon.in/Breathable-Comfort-Walking-Running-Reinforced/dp/B09X9TPTS2/ref=sr_1_7?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-7,₹420,420,₹599,(30% off),Get it by,"Wednesday, October 19",FREE Delivery on first order.,https://www.amazon.in/Breathable-Comfort-Walking-Running-Reinforced/dp/B09X9TPTS2/ref=sr_1_7?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-7,https://www.amazon.in/Breathable-Comfort-Walking-Running-Reinforced/dp/B09X9TPTS2/ref=sr_1_7?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-7#customerReviews,,,,javascript:void(0),4.6 out of 5 stars,5,+5 colors/patterns,,,,,
FOUND,https://www.amazon.in/Resistance-Running-Comfortable-Cushioning-Numeric_9/dp/B0BGC92M2Y/ref=sr_1_8?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-8,https://m.media-amazon.com/images/I/91xcfb17jlL._AC_UL320_.jpg,https://www.amazon.in/Resistance-Running-Comfortable-Cushioning-Numeric_9/dp/B0BGC92M2Y/ref=cs_sr_dp_1?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-8,Enjoy Mesh Shoes for Men | Comfortable & Lightweight Trendy Walking & Running Shoes Lace Up | Sneakers for Men | Gym & Workout Shoe,https://www.amazon.in/Resistance-Running-Comfortable-Cushioning-Numeric_9/dp/B0BGC92M2Y/ref=sr_1_8?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-8,₹499,499,"₹1,499",(67% off),Get it by,"Wednesday, October 19",FREE Delivery by Amazon,https://www.amazon.in/Resistance-Running-Comfortable-Cushioning-Numeric_9/dp/B0B58RSZF4/ref=cs_sr_dp_2?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-8,https://www.amazon.in/Resistance-Running-Comfortable-Cushioning-Numeric_9/dp/B0BGC92M2Y/ref=sr_1_8?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-8,https://www.amazon.in/Resistance-Running-Comfortable-Cushioning-Numeric_9/dp/B0BGC92M2Y/ref=sr_1_8?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-8#customerReviews,https://www.amazon.in/greatindianfestival,Great Indian Festival,javascript:void(0),5.0 out of 5 stars,1,,,,,,
FOUND,https://www.amazon.in/Athletic-Support-Breathable-Running-Cushion/dp/B09Y5JHYXY/ref=sr_1_9?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-9,https://m.media-amazon.com/images/I/81Z47rDRiUL._AC_UL320_.jpg,https://www.amazon.in/Athletic-Support-Breathable-Running-Cushion/dp/B09Y5JHYXY/ref=sr_1_9?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-9,"Enjoy Men Socks Ankle Length Athletic Arch Support Breathable Running, Sports, Running, Gym, Socks Half Terry Cushion Sneaker Length Socks (Plain Grey, 6)",https://www.amazon.in/Athletic-Support-Breathable-Running-Cushion/dp/B09Y5JHYXY/ref=sr_1_9?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-9,₹420,420,"₹1,199",(65% off),Get it by,"Wednesday, October 19",FREE Delivery on first order.,https://www.amazon.in/Athletic-Support-Breathable-Running-Cushion/dp/B09Y5JHYXY/ref=sr_1_9?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-9#customerReviews,,,,,javascript:void(0),5.0 out of 5 stars,2,,,,,,
FOUND,https://www.amazon.in/Puma-Flexracer-IDP-Pomegranate-PUM-Maroon/dp/B07NQJZ4Q3/ref=sr_1_10?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-10,https://m.media-amazon.com/images/I/61FlEZRz8aL._AC_UL320_.jpg,https://www.amazon.in/Puma-Flexracer-IDP-Pomegranate-PUM-Maroon/dp/B07NQJZ4Q3/ref=cs_sr_dp_1?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-10,Puma Men's Flexracer Hm Nu Idp Shoes,https://www.amazon.in/Puma-Flexracer-IDP-Pomegranate-PUM-Maroon/dp/B07NQJZ4Q3/ref=sr_1_10?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-10,"₹1,749","1,749","₹3,499",(50% off),Get it by,"Monday, October 17",FREE Delivery by Amazon,https://www.amazon.in/Puma-Flexracer-IDP-Pomegranate-PUM-Maroon/dp/B084PRBHL8/ref=cs_sr_dp_2?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-10,https://www.amazon.in/Puma-Flexracer-IDP-Pomegranate-PUM-Maroon/dp/B082YF6HRD/ref=cs_sr_dp_3?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-10,https://www.amazon.in/Puma-Flexracer-IDP-Pomegranate-PUM-Maroon/dp/B082YDKDVZ/ref=cs_sr_dp_4?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-10,https://www.amazon.in/Puma-Flexracer-IDP-Pomegranate-PUM-Maroon/dp/B07NQKHQJ5/ref=cs_sr_dp_5?crid=1I3OY9G5WVWBV&keywords=great+indian+festival&qid=1665755550&qu=eyJxc2MiOiI2LjQzIiwicXNhIjoiNC41OCIsInFzcCI6IjAuMDAifQ%3D%3D&rnid=3576079031&s=sports&sprefix=%2Caps%2C237&sr=1-10,,javascript:void(0),4.0 out of 5 stars,385,2,,,,,
