"product-ratingsContainer","product-ratingsCount","product-separator","product-base href","img-responsive src","product-brand","product-product","product-sizeInventoryPresent","product-sizeInventoryPresent 2","product-sizeInventoryPresent 3","product-sizeInventoryPresent 4","product-sizeInventoryPresent 5","product-discountedPrice","product-strike","product-discountPercentage","product-sizeButton","product-sizeButton 2","product-sizeButton 3","product-sizeButton 4","product-sizeButton 5","xcelerator-plpXceleratorImageTag"
"4.2","48.2k","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-teal-blue-printed-pure-cotton-t-shirt/1700871/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/1700871/2020/1/22/f932ae44-0fb8-4b92-b7bc-f1756253294b1579692118186-HRX-by-Hrithik-Roshan-Men-Teal-Blue-Printed-T-shirt-90515796-1.jpg","HRX by Hrithik Roshan","Printed Pure Cotton T-shirt","S,","M,","L,","XL,","XXL","Rs. 384","Rs. 699","(45% OFF)","S","M","L","XL","XXL",""
"4.3","6.2k","|","https://www.myntra.com/socks/hrx/hrx-by-hrithik-roshan-men-ankle-length-pack-of-3-ventilated-mesh-socks/1616312/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/1616312/2018/10/8/c2d14220-e4ac-4808-89ce-23a0c9fc22051538997563353-HRX-by-Hrithik-Roshan-Men-Pack-of-3-Ankle-Length-Socks-6541538997563113-1.jpg","HRX","Men Running Socks","Onesize","","","","","Rs. 299","Rs. 499","(40% OFF)","Onesize","","","","",""
"4.3","1.1k","|","https://www.myntra.com/trunk/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-lifestyle-pack-of-2-solid-trunks-hrx-ss18-ls-7006ae/6747411/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/6747411/2021/10/22/0b4b2af9-51ca-4a9a-a826-175d7633bea71634896380761-HRX-by-Hrithik-Roshan-Men-Lifestyle-Pack-of-2-Solid-Trunks-H-1.jpg","HRX by Hrithik Roshan","Pack of 2 Lifestyle Trunks","S,","M,","L,","XL","","Rs. 439","Rs. 799","(45% OFF)","S","M","L","XL","",""
"4.4","3.7k","|","https://www.myntra.com/socks/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-ankle-length-pack-of-3-terry-socks/976817/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/976817/2018/10/4/4db844a2-89c9-46a4-9ccf-c2b8db3306fb1538652963787-HRX-by-Hrithik-Roshan-Active-Men-Set-of-3-Ankle-Length-Socks-1.jpg","HRX by Hrithik Roshan","Men Training Socks","Onesize","","","","","Rs. 244","Rs. 699","(65% OFF)","Onesize","","","","",""
"4.5","1k","|","https://www.myntra.com/socks/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-ankle-length-pack-of-3-quick-dry-socks/10986454/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10986454/2019/12/4/1cf95732-c6bd-4675-8b75-920a09623d441575443444979-HRX-By-Hrithik-Roshan-Men-Set-of-3-Ankle-Length-Socks-111575-1.jpg","HRX by Hrithik Roshan","Men Training Socks","Onesize","","","","","Rs. 244","Rs. 699","(65% OFF)","Onesize","","","","",""
"4.4","437","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-boys-navy-blue-printed-bio-wash-lifestyle-tshirts/11245466/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11245466/2022/9/9/81178c26-49cc-4555-9d23-78084d871e6c1662729416552-Hrx-By-Hrithik-Roshan-Boys-Navy-Blue-Printed-Bio-Wash-Lifest-1.jpg","HRX by Hrithik Roshan","U-17 Boys Lifestyle Tshirts","8-9Y,","10-11Y,","12-13Y,","14-15Y,","16-17Y","Rs. 215","Rs. 799","(73% OFF)","8-9Y","10-11Y","12-13Y","14-15Y","16-17Y","NEW SEASON"
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-white-brand-logo-print-detail-t-shirt/19468260/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19468260/2022/9/13/f9f4d722-8232-485a-af32-28aea38d75c51663058827286-HRX-By-Hrithik-Roshan-Men-Running-White-Rapid-Dry-T-Shirts-8-1.jpg","HRX by Hrithik Roshan","Print Detail T-shirt","S,","M,","L,","XL,","XXL","Rs. 494","Rs. 899","(45% OFF)","S","M","L","XL","XXL",""
"4.6","1.1k","|","https://www.myntra.com/socks/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-ankle-length-pack-of-3-rapid-dry-socks/10986434/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10986434/2020/1/31/864129e9-2954-47bd-afd3-39c49ac0f5541580448603795-HRX-by-Hrithik-Roshan-Women-Socks-1641580448602439-1.jpg","HRX by Hrithik Roshan","Women Running Socks","Onesize","","","","","Rs. 244","Rs. 699","(65% OFF)","Onesize","","","","",""
"4.5","1.5k","|","https://www.myntra.com/socks/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-quarter-length-pack-of-3-socks/2510302/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2510302/2018/5/22/5809fe1e-f0c2-449d-a13c-14210d436e941526988334019-HRX-by-Hrithik-Roshan-Men-Socks-6091526988333918-1.jpg","HRX by Hrithik Roshan","Men Lifestyle Socks","Onesize","","","","","Rs. 244","Rs. 699","(65% OFF)","Onesize","","","","",""
"4.2","561","|","https://www.myntra.com/briefs/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-lifestyle-charcoal-grey-core-boxer-brief-ls-7007a/6747467/buy","https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/6747467/2019/1/7/ffa84a1f-c120-443b-b90a-c8980c75e14e1546864259416-HRX-by-Hrithik-Roshan-Men-Grey-Solid-Boxer-Brief-HRX-SS18-LS-1.jpg","HRX by Hrithik Roshan","Lifestyle Boxer Briefs","S,","M,","L,","XL","","Rs. 274","Rs. 499","(45% OFF)","S","M","L","XL","",""
